 num     #instances         #bytes  class name (module)
 127:            22           1408  sun.security.ec.SunEC$ProviderServiceA (jdk.crypto.ec@17.0.2)
 128:            25           1400  sun.nio.ch.SinkChannelImpl (java.base@17.0.2)
 129:            25           1400  sun.nio.ch.SourceChannelImpl (java.base@17.0.2)
 130:            43           1376  java.io.RandomAccessFile (java.base@17.0.2)
 131:            43           1376  java.util.zip.ZipFile$CleanableResource (java.base@17.0.2)
 132:            56           1344  java.util.zip.Inflater$InflaterZStreamRef (java.base@17.0.2)
 133:            33           1320  java.security.ProtectionDomain (java.base@17.0.2)
 134:            33           1320  java.util.WeakHashMap$Entry (java.base@17.0.2)
 135:            54           1296  java.security.spec.ECPoint (java.base@17.0.2)
 136:            39           1280  [Ljava.math.BigInteger; (java.base@17.0.2)
 137:            20           1280  sun.security.ec.SunEC$ProviderService (jdk.crypto.ec@17.0.2)
 138:            39           1248  java.util.PropertyPermission (java.base@17.0.2)
 139:            51           1224  java.util.Collections$SetFromMap (java.base@17.0.2)
 140:            30           1200  java.time.temporal.ChronoField (java.base@17.0.2)
 141:            74           1184  java.lang.ref.ReferenceQueue$Lock (java.base@17.0.2)
 142:            18           1136  [Ljava.lang.reflect.Field; (java.base@17.0.2)
 143:            28           1120  java.math.BigDecimal (java.base@17.0.2)
 144:             1           1104  [Lsun.security.util.KnownOIDs; (java.base@17.0.2)
 145:             2           1088  [Ljava.lang.Integer; (java.base@17.0.2)
 146:            27           1080  java.lang.invoke.DirectMethodHandle$Special (java.base@17.0.2)
 147:            67           1072  java.util.HashMap$KeySet (java.base@17.0.2)
 148:            67           1072  jdk.internal.module.SystemModuleFinders$3 (java.base@17.0.2)
 149:             1           1040  [Ljava.lang.Long; (java.base@17.0.2)
 150:             2           1040  io.vertx.core.impl.VertxThread
 151:            43           1032  java.util.concurrent.atomic.AtomicLong (java.base@17.0.2)
 152:            43           1032  java.util.zip.ZipFile$Source$Key (java.base@17.0.2)
 153:            32           1024  io.netty.util.AsciiString
 154:            42           1008  io.netty.util.internal.logging.LocationAwareSlf4JLogger
 155:            31            992  io.netty.channel.ChannelOption
 156:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@17.0.2)
 157:            41            984  java.time.LocalDate (java.base@17.0.2)
 158:            29            968  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser; (java.base@17.0.2)
 159:            40            960  io.netty.handler.codec.dns.DnsRecordType
 160:            30            960  java.security.Provider$EngineDescription (java.base@17.0.2)
 161:            38            912  java.util.regex.Pattern$BmpCharProperty (java.base@17.0.2)
 162:            27            864  io.netty.util.concurrent.DefaultPromise
 163:             7            856  [D (java.base@17.0.2)
 164:            26            832  java.util.Locale (java.base@17.0.2)
 165:            13            832  org.jcp.xml.dsig.internal.dom.XMLDSigRI$ProviderService (java.xml.crypto@17.0.2)
 166:            26            832  sun.util.locale.BaseLocale (java.base@17.0.2)
 167:            47            808  [Ljava.net.InetAddress; (java.base@17.0.2)
 168:            50            800  java.nio.channels.spi.AbstractInterruptibleChannel$1 (java.base@17.0.2)
 169:            20            800  java.security.AccessControlContext (java.base@17.0.2)
 170:            25            800  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser (java.base@17.0.2)
 171:            25            800  java.util.concurrent.CountDownLatch$Sync (java.base@17.0.2)
 172:            46            776  [Ljava.net.InterfaceAddress; (java.base@17.0.2)
 173:            24            768  java.net.InetAddress$InetAddressHolder (java.base@17.0.2)
 174:            31            744  java.security.Permissions (java.base@17.0.2)
 175:            46            736  [Ljava.net.NetworkInterface; (java.base@17.0.2)
 176:            30            720  java.util.concurrent.ConcurrentHashMap$KeySetView (java.base@17.0.2)
 177:            44            704  java.util.Collections$UnmodifiableSet (java.base@17.0.2)
 178:            44            704  java.util.WeakHashMap$KeySet (java.base@17.0.2)
 179:            29            696  java.time.format.DateTimeFormatterBuilder$CompositePrinterParser (java.base@17.0.2)
 180:            29            696  sun.security.provider.PolicyFile$PolicyEntry (java.base@17.0.2)
 181:            29            696  sun.security.util.LazyCodeSourcePermissionCollection (java.base@17.0.2)
