 num     #instances         #bytes  class name (module)
 133:           100           2400  jdk.internal.org.objectweb.asm.Edge (java.base@17.0.2)
 134:            25           2400  sun.nio.ch.WEPollSelectorImpl (java.base@17.0.2)
 135:           139           2360  [Ljava.net.InetAddress; (java.base@17.0.2)
 136:            59           2360  jdk.internal.org.objectweb.asm.Handler (java.base@17.0.2)
 137:            87           2352  [Ljdk.internal.org.objectweb.asm.Type; (java.base@17.0.2)
 138:            72           2304  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.2)
 139:            72           2304  java.lang.ref.ReferenceQueue (java.base@17.0.2)
 140:            95           2280  java.util.ArrayDeque (java.base@17.0.2)
 141:            94           2256  java.lang.PublicMethods$MethodList (java.base@17.0.2)
 142:            46           2208  java.net.NetworkInterface (java.base@17.0.2)
 143:            25           2200  java.util.regex.Pattern (java.base@17.0.2)
 144:            68           2176  java.lang.invoke.LambdaForm$Kind (java.base@17.0.2)
 145:            53           2120  sun.security.util.NamedCurve (java.base@17.0.2)
 146:            88           2112  java.lang.invoke.MethodHandles$Lookup$ClassFile (java.base@17.0.2)
 147:            43           2064  jdk.internal.loader.URLClassPath$JarLoader (java.base@17.0.2)
 148:           128           2048  java.lang.Character (java.base@17.0.2)
 149:           124           1984  java.util.concurrent.atomic.AtomicInteger (java.base@17.0.2)
 150:            62           1984  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@17.0.2)
 151:            49           1960  io.vertx.ext.web.impl.RouterState
 152:            49           1960  java.io.ObjectStreamField (java.base@17.0.2)
 153:            20           1920  ch.qos.logback.classic.spi.LoggingEvent
 154:            29           1856  java.lang.invoke.InvokerBytecodeGenerator (java.base@17.0.2)
 155:            75           1800  java.lang.RuntimePermission (java.base@17.0.2)
 156:            71           1704  jdk.internal.module.SystemModuleFinders$2 (java.base@17.0.2)
 157:            53           1696  java.security.spec.EllipticCurve (java.base@17.0.2)
 158:            53           1696  sun.security.util.ObjectIdentifier (java.base@17.0.2)
 159:           103           1648  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@17.0.2)
 160:            68           1632  java.time.LocalDateTime (java.base@17.0.2)
 161:           101           1616  java.net.UnixDomainSocketAddress (java.base@17.0.2)
 162:             3           1592  [[B (java.base@17.0.2)
 163:            33           1584  java.time.temporal.ValueRange (java.base@17.0.2)
 164:            98           1568  java.lang.Byte (java.base@17.0.2)
 165:            64           1536  java.lang.module.ModuleDescriptor$Provides (java.base@17.0.2)
 166:            63           1512  java.lang.module.ResolvedModule (java.base@17.0.2)
 167:            63           1512  java.util.ImmutableCollections$Set12$1 (java.base@17.0.2)
 168:            63           1512  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@17.0.2)
 169:            10           1440  [Ljava.lang.invoke.MemberName; (java.base@17.0.2)
 170:            60           1440  [Ljava.lang.invoke.MethodHandles$Lookup$ClassOption; (java.base@17.0.2)
 171:            60           1440  java.lang.invoke.ConstantCallSite (java.base@17.0.2)
 172:            60           1440  java.lang.invoke.InfoFromMemberName (java.base@17.0.2)
 173:            90           1440  java.util.HashMap$KeySet (java.base@17.0.2)
 174:            59           1416  java.lang.invoke.InnerClassLambdaMetafactory$ForwardingMethodGenerator (java.base@17.0.2)
 175:            22           1408  sun.security.ec.SunEC$ProviderServiceA (jdk.crypto.ec@17.0.2)
 176:            25           1400  sun.nio.ch.SinkChannelImpl (java.base@17.0.2)
 177:            25           1400  sun.nio.ch.SourceChannelImpl (java.base@17.0.2)
 178:            43           1376  java.io.RandomAccessFile (java.base@17.0.2)
 179:            43           1376  java.util.zip.ZipFile$CleanableResource (java.base@17.0.2)
 180:            33           1320  java.security.ProtectionDomain (java.base@17.0.2)
 181:            55           1320  java.util.zip.Inflater$InflaterZStreamRef (java.base@17.0.2)
 182:            54           1296  java.security.spec.ECPoint (java.base@17.0.2)
 183:            39           1280  [Ljava.math.BigInteger; (java.base@17.0.2)
 184:            20           1280  sun.security.ec.SunEC$ProviderService (jdk.crypto.ec@17.0.2)
 185:            53           1272  java.util.Collections$SetFromMap (java.base@17.0.2)
 186:            39           1248  java.util.PropertyPermission (java.base@17.0.2)
 187:            30           1200  java.time.temporal.ChronoField (java.base@17.0.2)
 188:            74           1184  java.lang.ref.ReferenceQueue$Lock (java.base@17.0.2)
 189:            49           1176  java.time.LocalDate (java.base@17.0.2)
 190:            29           1160  java.util.HashMap$KeyIterator (java.base@17.0.2)
 191:            24           1152  java.util.TreeMap (java.base@17.0.2)
 192:            18           1136  [Ljava.lang.reflect.Field; (java.base@17.0.2)
 193:            20           1120  [Ljava.util.regex.Pattern$GroupHead; (java.base@17.0.2)
 194:             1           1104  [Lsun.security.util.KnownOIDs; (java.base@17.0.2)
 195:            46           1104  java.net.NetworkInterface$1 (java.base@17.0.2)
 196:            46           1104  java.util.regex.Pattern$BmpCharProperty (java.base@17.0.2)
 197:             2           1088  [Ljava.lang.Integer; (java.base@17.0.2)
 198:            27           1080  java.lang.invoke.DirectMethodHandle$Special (java.base@17.0.2)
 199:            67           1072  jdk.internal.module.SystemModuleFinders$3 (java.base@17.0.2)
 200:            44           1056  io.netty.channel.ChannelHandlerMask$2
 201:             1           1040  [Ljava.lang.Long; (java.base@17.0.2)
 202:             2           1040  io.vertx.core.impl.VertxThread
 203:            43           1032  java.util.concurrent.atomic.AtomicLong (java.base@17.0.2)
 204:            43           1032  java.util.zip.ZipFile$Source$Key (java.base@17.0.2)
 205:            32           1024  io.netty.util.AsciiString
 206:            42           1008  io.netty.util.internal.logging.LocationAwareSlf4JLogger
 207:            31            992  io.netty.channel.ChannelOption
 208:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@17.0.2)
 209:            41            984  org.slf4j.helpers.FormattingTuple
 210:            29            968  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser; (java.base@17.0.2)
 211:            40            960  io.netty.handler.codec.dns.DnsRecordType
 212:            30            960  java.security.Provider$EngineDescription (java.base@17.0.2)
 213:            39            936  java.time.Instant (java.base@17.0.2)
 214:            23            920  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle (java.base@17.0.2)
 215:            23            920  java.security.AccessControlContext (java.base@17.0.2)
 216:            28            896  io.netty.util.concurrent.DefaultPromise
 217:             8            872  [D (java.base@17.0.2)
 218:            36            864  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@17.0.2)
 219:            15            840  java.nio.HeapByteBuffer (java.base@17.0.2)
 220:            26            832  java.util.Locale (java.base@17.0.2)
 221:            13            832  org.jcp.xml.dsig.internal.dom.XMLDSigRI$ProviderService (java.xml.crypto@17.0.2)
 222:            26            832  sun.util.locale.BaseLocale (java.base@17.0.2)
 223:            34            816  java.time.LocalTime (java.base@17.0.2)
